"Timestamp","WorkingSetMB","PrivateMemoryMB","CpuSeconds","Threads","Handles"
"2026-08-29T01:37:51.5659974+07:00","43.996","54.762","6.641","13","204"
"2026-08-29T01:37:52.6203575+07:00","43.996","54.762","6.641","13","204"
"2026-08-29T01:37:53.6661540+07:00","43.996","54.762","6.641","13","204"
"2026-08-29T01:37:54.6811495+07:00","44.445","54.766","6.641","13","207"
"2026-08-29T01:37:55.6932877+07:00","45.477","56.062","6.688","13","212"
"2026-08-29T01:37:56.7137383+07:00","46.262","56.094","6.734","13","217"
"2026-08-29T01:37:57.7369200+07:00","47.297","56.965","6.781","13","222"
"2026-08-29T01:37:58.7555311+07:00","47.668","57.137","6.859","13","228"
"2026-08-29T01:37:59.7723069+07:00","48.586","58.652","7.016","13","232"
"2026-08-29T01:38:00.7820485+07:00","49.965","61.543","7.078","13","237"
"2026-08-29T01:38:01.7990044+07:00","52.09","62.574","7.188","13","241"
"2026-08-29T01:38:02.8132079+07:00","53.484","68.961","7.391","13","248"
"2026-08-29T01:38:03.8278103+07:00","55.07","68.34","7.656","13","254"
"2026-08-29T01:38:04.8450750+07:00","56.941","68.758","7.938","13","258"
"2026-08-29T01:38:05.8656219+07:00","57.051","76.09","8.25","13","262"
"2026-08-29T01:38:06.8772243+07:00","59.562","77.254","8.438","13","269"
"2026-08-29T01:38:07.8873327+07:00","60.828","76.441","8.578","13","273"
"2026-08-29T01:38:08.9081653+07:00","60.945","75.941","8.844","13","278"
"2026-08-29T01:38:09.9205301+07:00","63.828","76.512","9.125","13","284"
"2026-08-29T01:38:10.9325557+07:00","64.078","92.508","9.516","13","288"
"2026-08-29T01:38:11.9483814+07:00","66.418","93.398","9.812","13","292"
"2026-08-29T01:38:12.9594298+07:00","71.055","93.684","10.078","13","298"
"2026-08-29T01:38:13.9752531+07:00","74.82","93.691","10.438","13","303"
"2026-08-29T01:38:14.9869950+07:00","78.758","96.066","10.812","13","309"
"2026-08-29T01:38:15.9970786+07:00","78.949","96.07","11.172","13","313"
"2026-08-29T01:38:17.0103854+07:00","80.77","97.359","11.422","13","319"
"2026-08-29T01:38:18.0371148+07:00","81.34","98.918","11.938","13","323"
"2026-08-29T01:38:19.0514456+07:00","81.555","99.012","12.312","13","329"
"2026-08-29T01:38:20.0648680+07:00","81.75","99.07","12.75","13","334"
"2026-08-29T01:38:21.0790861+07:00","81.727","99.906","13.219","13","338"
"2026-08-29T01:38:22.0903634+07:00","81.402","97.902","13.672","13","345"
"2026-08-29T01:38:23.1061585+07:00","81.926","98.738","14.109","13","349"
"2026-08-29T01:38:24.1261095+07:00","81.508","98.121","14.625","13","354"
"2026-08-29T01:38:25.1450922+07:00","82.02","98.473","15.203","13","360"
"2026-08-29T01:38:26.1596891+07:00","81.785","98.109","15.672","13","364"
"2026-08-29T01:38:27.1755978+07:00","82.379","98.949","16","13","369"
"2026-08-29T01:38:28.1868151+07:00","82.09","98.512","16.531","13","375"
"2026-08-29T01:38:29.1994294+07:00","82.535","98.668","17.141","13","379"
"2026-08-29T01:38:30.2115039+07:00","82.195","98.125","17.594","13","385"
"2026-08-29T01:38:31.2246017+07:00","82.355","98.223","18.156","13","389"
"2026-08-29T01:38:32.2456368+07:00","82.301","98.262","18.672","13","395"
"2026-08-29T01:38:33.2581897+07:00","82.164","98.441","19.266","13","400"
"2026-08-29T01:38:34.2694471+07:00","82.551","99.414","19.734","13","406"
"2026-08-29T01:38:35.2848196+07:00","82.578","99.426","20.375","13","411"
"2026-08-29T01:38:36.3077806+07:00","82.605","99.516","21.047","13","417"
"2026-08-29T01:38:37.3338868+07:00","82.758","100.297","21.625","13","421"
